SDate,PFIZER_High,PFIZER_Low,PFIZER_Open,PFIZER_Close,PFIZER_Volume,PFIZER_Adj Close,PFIZER_VARIATION,ASTRAZENECA_High,ASTRAZENECA_Low,ASTRAZENECA_Open,ASTRAZENECA_Close, ASTRAZENECA_Volume ,ASTRAZENECA_Adj Close,ASTRAZENECA_VARIATION,BIONTECH_High,BIONTECH_Low,BIONTECH_Open,BIONTECH_Close,BIONTECH_Volume,BIONTECH_Adj Close,BIONTECH_VARIATION,MODERNA_High,MODERNA_Low,MODERNA_Open,MODERNA_Close,MODERNA_Volume,MODERNA_Adj Close,MODERNA_VARIATION,NOVAVAX_High,NOVAVAX_Low,NOVAVAX_Open,NOVAVAX_Close,NOVAVAX_Volume,NOVAVAX_Adj Close,NOVAVAX_VARIATION
16/01/2020,38.70967865,38.25426865,38.7001915,38.52941132,16216422,37.01725769,-0.170780182,50.61000061,50.22000122,50.58000183,50.50999832," 3,078,300.00 ",49.10869217,-0.07000351,35.90000153,31.27499962,35.75,32.25,692100,32.25,-3.5,21.87000084,20.77000046,21.68000031,21.01000023,4918400,21.01000023,-0.670000076,4.849999905,4.489999771,4.5,4.78000021,4380200,4.78000021,0.28000021
17/01/2020,38.7191658,38.3491478,38.49146271,38.43453598,23083970,36.9261055,-0.056926727,51.54999924,51.15999985,51.43999863,51.33000183," 2,685,900.00 ",49.90594864,-0.109996796,33.59999847,30.32999992,33.04999924,33.18000031,615100,33.18000031,0.130001068,21.5,20.54999924,21.5,20.62000084,3348400,20.62000084,-0.879999161,5.809999943,4.760000229,4.880000114,5.739999771,9559900,5.739999771,0.859999657
21/01/2020,38.57685089,38.13093185,38.31119537,38.27324677,23115696,36.77114487,-0.037948608,51.04000092,50.47999954,50.47999954,50.79999924," 1,964,100.00 ",49.39064407,0.319999695,36.54000092,33.51300049,33.79000092,36.54000092,264500,36.54000092,2.75,21.48999977,20.64500046,20.79000092,20.94000053,2089600,20.94000053,0.149999619,9.989999771,7.320000172,9.149999619,9.819999695,55305200,9.819999695,0.670000076
22/01/2020,38.33965683,37.92219925,38.25426865,38.13093185,18097812,36.63441849,-0.123336792,51,50.33000183,51,50.45000076," 1,924,000.00 ",49.05035782,-0.549999237,39.02999878,36.75,37.61000061,38.88000107,318200,38.88000107,1.270000458,23.20000076,21.70000076,22.07999992,21.96999931,10920700,21.96999931,-0.11000061,8.5,6.800000191,8.380000114,7.090000153,16921200,7.090000153,-1.289999962
23/01/2020,38.73814011,38.07400513,38.13093185,38.62428665,27148510,37.10840988,0.493354797,50.34999847,49.99000168,50.33000183,50.20000076," 1,560,800.00 ",48.80729675,-0.130001068,37.54999924,35.31000137,37.20999908,36.70000076,192900,36.70000076,-0.509998322,22.64999962,21.39999962,22.17000008,21.46999931,3663900,21.46999931,-0.700000763,8.140000343,7.239999771,7.880000114,7.659999847,16709400,7.659999847,-0.220000267
24/01/2020,38.87096786,37.60910797,38.84250641,37.77988434,34143698,36.29714966,-1.06262207,50.61999893,49.20000076,50.52000046,49.27999878," 4,466,500.00 ",47.91281891,-1.240001678,35.90000153,33.56600189,35.31999969,34.99000168,209700,34.99000168,-0.329998016,21.87899971,20.89999962,21.60000038,21.12000084,2947800,21.12000084,-0.479999542,8.119999886,7.510000229,7.989999771,7.800000191,10553600,7.800000191,-0.18999958
27/01/2020,38.35863495,37.23908997,37.39089203,38.10246658,31964026,36.60707092,0.711574554,49.06999969,48.61000061,48.90999985,48.90000153," 2,265,600.00 ",47.54336166,-0.009998322,34.53499985,32.75,33.24000168,33.20000076,120000,33.20000076,-0.040000916,23.12000084,21.12000084,22.10000038,22.73999977,10294700,22.73999977,0.63999939,9.319999695,8.31000042,9.229999542,8.5,16742100,8.5,-0.729999542
28/01/2020,37.46679306,36.00569153,37.30550385,36.18595886,70202408,34.76577759,-1.119544983,49.70999908,49.31000137,49.5,49.59999847," 1,765,400.00 ",48.22393799,0.099998474,34.83000183,32.59999847,34.04000092,34.22000122,165200,34.22000122,0.180000305,23.5,21.85000038,23.5,22.36000061,5649300,22.36000061,-1.13999939,8.170000076,7.010000229,8.010000229,7.170000076,8664300,7.170000076,-0.840000153
29/01/2020,36.41366196,35.62618637,36.16698456,35.65464783,34165726,34.25531769,-0.512336731,50.11000061,49.63000107,50.09000015,49.65999985," 4,044,800.00 ",48.28227615,-0.430000305,33.95000076,31.73999977,33.95000076,31.79999924,184200,31.79999924,-2.150001526,22.34000015,20.45000076,22.22999954,20.54999924,4671900,20.54999924,-1.680000305,7.340000153,6.260000229,7.21999979,6.840000153,5591100,6.840000153,-0.379999638
30/01/2020,35.26565552,34.81024551,35.19924164,35.17077637,32316589,34.13560867,-0.028465271,49.38999939,48.93999863,49.36999893,49.09000015," 5,974,200.00 ",47.72809219,-0.279998779,31.19000053,28.57999992,30.70000076,29.89999962,228600,29.89999962,-0.800001144,21.73999977,20.79999924,21.04999924,20.98999977,3061800,20.98999977,-0.059999466,7.099999905,6.730000019,7.03000021,7,3738800,7,-0.03000021
